eventID,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,occurrenceStatus,occurrenceID
IYS:GoA2019_Stn20:juday,Copepoda,urn:lsid:marinespecies.org:taxname:1080,"Milne Edwards, 1840",accepted,Subclass,889925,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,present,IYS:GoA2019_Stn20:juday:jocc:89
IYS:GoA2019_Stn20:juday,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,1089,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,present,IYS:GoA2019_Stn20:juday:jocc:90
IYS:GoA2019_Stn20:juday,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,"Latreille, 1816",accepted,Order,1090,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,present,IYS:GoA2019_Stn20:juday:jocc:91
IYS:GoA2019_Stn20:juday,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,accepted,Phylum,2,Animalia,Chaetognatha,NA,NA,NA,NA,present,IYS:GoA2019_Stn20:juday:jocc:92
IYS:GoA2019_Stn20:juday,Hydrozoa,urn:lsid:marinespecies.org:taxname:1337,"Owen, 1843",accepted,Class,1267,Animalia,Cnidaria,Hydrozoa,NA,NA,NA,present,IYS:GoA2019_Stn20:juday:jocc:93
IYS:GoA2019_Stn21:juday,Copepoda,urn:lsid:marinespecies.org:taxname:1080,"Milne Edwards, 1840",accepted,Subclass,889925,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,present,IYS:GoA2019_Stn21:juday:jocc:94
IYS:GoA2019_Stn21:juday,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,"Latreille, 1816",accepted,Order,1090,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,present,IYS:GoA2019_Stn21:juday:jocc:95
IYS:GoA2019_Stn21:juday,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,"Cuvier, 1804",accepted,Order,1057250,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,present,IYS:GoA2019_Stn21:juday:jocc:96
IYS:GoA2019_Stn21:juday,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,accepted,Phylum,2,Animalia,Chaetognatha,NA,NA,NA,NA,present,IYS:GoA2019_Stn21:juday:jocc:97
IYS:GoA2019_Stn22:juday,Copepoda,urn:lsid:marinespecies.org:taxname:1080,"Milne Edwards, 1840",accepted,Subclass,889925,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,present,IYS:GoA2019_Stn22:juday:jocc:98
IYS:GoA2019_Stn22:juday,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,1089,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,present,IYS:GoA2019_Stn22:juday:jocc:99
IYS:GoA2019_Stn22:juday,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,"Latreille, 1816",accepted,Order,1090,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,present,IYS:GoA2019_Stn22:juday:jocc:100
IYS:GoA2019_Stn22:juday,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,"Cuvier, 1804",accepted,Order,1057250,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,present,IYS:GoA2019_Stn22:juday:jocc:101
IYS:GoA2019_Stn22:juday,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,accepted,Phylum,2,Animalia,Chaetognatha,NA,NA,NA,NA,present,IYS:GoA2019_Stn22:juday:jocc:102
IYS:GoA2019_Stn22:juday,Hydrozoa,urn:lsid:marinespecies.org:taxname:1337,"Owen, 1843",accepted,Class,1267,Animalia,Cnidaria,Hydrozoa,NA,NA,NA,present,IYS:GoA2019_Stn22:juday:jocc:103
IYS:GoA2019_Stn23:juday,Copepoda,urn:lsid:marinespecies.org:taxname:1080,"Milne Edwards, 1840",accepted,Subclass,889925,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,present,IYS:GoA2019_Stn23:juday:jocc:104
IYS:GoA2019_Stn23:juday,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,1089,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,present,IYS:GoA2019_Stn23:juday:jocc:105
IYS:GoA2019_Stn23:juday,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,"Latreille, 1816",accepted,Order,1090,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,present,IYS:GoA2019_Stn23:juday:jocc:106
IYS:GoA2019_Stn23:juday,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,"Cuvier, 1804",accepted,Order,1057250,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,present,IYS:GoA2019_Stn23:juday:jocc:107
IYS:GoA2019_Stn24:juday,Copepoda,urn:lsid:marinespecies.org:taxname:1080,"Milne Edwards, 1840",accepted,Subclass,889925,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,present,IYS:GoA2019_Stn24:juday:jocc:108
