occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020_Stn5:trawl:occ-31,IYS:GoA2020_Stn5:trawl:occ-31-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,186,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn5:trawl:occ-31,IYS:GoA2020_Stn5:trawl:occ-31-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.614,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,volume estimate
IYS:GoA2020_Stn5:trawl:occ-32,IYS:GoA2020_Stn5:trawl:occ-32-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,8,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn5:trawl:occ-32,IYS:GoA2020_Stn5:trawl:occ-32-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.026,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn5:trawl:occ-33,IYS:GoA2020_Stn5:trawl:occ-33-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn5:trawl:occ-33,IYS:GoA2020_Stn5:trawl:occ-33-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.122,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn5:trawl:occ-34,IYS:GoA2020_Stn5:trawl:occ-34-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,18,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn5:trawl:occ-34,IYS:GoA2020_Stn5:trawl:occ-34-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.006,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn5:trawl:occ-35,IYS:GoA2020_Stn5:trawl:occ-35-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,16,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn5:trawl:occ-35,IYS:GoA2020_Stn5:trawl:occ-35-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.022,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn5:trawl:occ-36,IYS:GoA2020_Stn5:trawl:occ-36-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn5:trawl:occ-36,IYS:GoA2020_Stn5:trawl:occ-36-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.008,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn5:trawl:occ-37,IYS:GoA2020_Stn5:trawl:occ-37-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,62,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn5:trawl:occ-37,IYS:GoA2020_Stn5:trawl:occ-37-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn5:trawl:occ-38,IYS:GoA2020_Stn5:trawl:occ-38-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn5:trawl:occ-38,IYS:GoA2020_Stn5:trawl:occ-38-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.014,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn5:trawl:occ-39,IYS:GoA2020_Stn5:trawl:occ-39-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,59,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn5:trawl:occ-39,IYS:GoA2020_Stn5:trawl:occ-39-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.06,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn6:trawl:occ-40,IYS:GoA2020_Stn6:trawl:occ-40-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,14,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn6:trawl:occ-40,IYS:GoA2020_Stn6:trawl:occ-40-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn6:trawl:occ-41,IYS:GoA2020_Stn6:trawl:occ-41-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn6:trawl:occ-41,IYS:GoA2020_Stn6:trawl:occ-41-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn6:trawl:occ-42,IYS:GoA2020_Stn6:trawl:occ-42-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,23,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn6:trawl:occ-42,IYS:GoA2020_Stn6:trawl:occ-42-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn6:trawl:occ-43,IYS:GoA2020_Stn6:trawl:occ-43-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
