eventID,occurrenceID,occurrenceStatus,organismQuantity,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,lifeStage
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:49,present,19,Lipolagus ochotensis,urn:lsid:marinespecies.org:taxname:281374,"(Schmidt, 1938)",accepted,Species,269707,Animalia,Chordata,Actinopterygii,Argentiniformes,Bathylagidae,Lipolagus,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:50,present,2,Microstomus pacificus,urn:lsid:marinespecies.org:taxname:274294,"(Lockington, 1879)",accepted,Species,126118,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,larvae
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:51,present,1,Thalassenchelys coheni,urn:lsid:marinespecies.org:taxname:282952,"Castle & Raju, 1975",accepted,Species,271072,Animalia,Chordata,Actinopterygii,Anguilliformes,Colocongridae,Thalassenchelys,larvae
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:52,present,1,Heteropoda,urn:lsid:marinespecies.org:taxname:14775,"Lamarck, 1812",unaccepted,Superfamily,382213,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,NA,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:53,present,8,Diaphus theta,urn:lsid:marinespecies.org:taxname:272694,"Eigenmann & Eigenmann, 1890",accepted,Species,125819,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Diaphus,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:54,present,10,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,254362,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Stenobrachius,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:55,present,1,Symbolophorus californiensis,urn:lsid:marinespecies.org:taxname:272733,"(Eigenmann & Eigenmann, 1889)",accepted,Species,125833,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:56,present,454,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",accepted,Species,271040,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:57,present,253,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,"McGowan & Okutani, 1968",alternate representation,Species,137931,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:58,present,6,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,"(Sasaki, 1923)",unaccepted,Species,1468831,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:59,present,9,Gonatidae,urn:lsid:marinespecies.org:taxname:11743,"Hoyle, 1886",accepted,Family,1454593,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,NA,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:60,present,1,Okutania anonycha,urn:lsid:marinespecies.org:taxname:1468871,"(Pearcy & Voss, 1963)",unaccepted,Species,1468848,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Okutania,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:61,present,8,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,"Okada, 1927",accepted,Species,138291,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:62,present,177,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,106344,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:63,present,1,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:64,present,NA,Corolla,urn:lsid:marinespecies.org:taxname:137873,"Dall, 1871",accepted,Genus,411909,Animalia,Mollusca,Gastropoda,Pteropoda,Cymbuliidae,Corolla,NA
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:occ:65,present,NA,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,NA
IYS:GoA2020_Stn9:trawl,IYS:GoA2020_Stn9:trawl:occ:66,present,NA,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,13553,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA
IYS:GoA2020_Stn9:trawl,IYS:GoA2020_Stn9:trawl:occ:67,present,1,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,1393118,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA
IYS:GoA2020_Stn9:trawl,IYS:GoA2020_Stn9:trawl:occ:68,present,292,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,106344,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA
IYS:GoA2020_Stn9:trawl,IYS:GoA2020_Stn9:trawl:occ:69,present,2,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:70,present,78,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,"McGowan & Okutani, 1968",alternate representation,Species,137931,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:71,present,NA,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,13553,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:72,present,9,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,"(Sasaki, 1923)",unaccepted,Species,1468831,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:73,present,NA,Diaphus theta,urn:lsid:marinespecies.org:taxname:272694,"Eigenmann & Eigenmann, 1890",accepted,Species,125819,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Diaphus,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:74,present,NA,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:75,present,NA,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,106344,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:76,present,55,Lipolagus ochotensis,urn:lsid:marinespecies.org:taxname:281374,"(Schmidt, 1938)",accepted,Species,269707,Animalia,Chordata,Actinopterygii,Argentiniformes,Bathylagidae,Lipolagus,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:77,present,6,Microstomus pacificus,urn:lsid:marinespecies.org:taxname:274294,"(Lockington, 1879)",accepted,Species,126118,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,larvae
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:78,present,1,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:79,present,1,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,"Okada, 1927",accepted,Species,138291,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:80,present,NA,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,"Brandt, 1835",accepted,Species,135266,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,egg
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:81,present,97,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,254362,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Stenobrachius,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:82,present,2,Symbolophorus californiensis,urn:lsid:marinespecies.org:taxname:272733,"(Eigenmann & Eigenmann, 1889)",accepted,Species,125833,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:83,present,1203,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",accepted,Species,271040,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA
IYS:GoA2020_Stn10:trawl,IYS:GoA2020_Stn10:trawl:occ:84,present,1,Thalassenchelys coheni,urn:lsid:marinespecies.org:taxname:282952,"Castle & Raju, 1975",accepted,Species,271072,Animalia,Chordata,Actinopterygii,Anguilliformes,Colocongridae,Thalassenchelys,larvae
IYS:GoA2020_Stn11:trawl,IYS:GoA2020_Stn11:trawl:occ:85,present,NA,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,13553,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA
IYS:GoA2020_Stn11:trawl,IYS:GoA2020_Stn11:trawl:occ:86,present,NA,Diaphus theta,urn:lsid:marinespecies.org:taxname:272694,"Eigenmann & Eigenmann, 1890",accepted,Species,125819,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Diaphus,NA
IYS:GoA2020_Stn11:trawl,IYS:GoA2020_Stn11:trawl:occ:87,present,NA,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,NA
IYS:GoA2020_Stn11:trawl,IYS:GoA2020_Stn11:trawl:occ:88,present,1,Japetella diaphana,urn:lsid:marinespecies.org:taxname:138849,"Hoyle, 1885",accepted,Species,137695,Animalia,Mollusca,Cephalopoda,Octopoda,Amphitretidae,Japetella,NA
IYS:GoA2020_Stn11:trawl,IYS:GoA2020_Stn11:trawl:occ:89,present,11,Lipolagus ochotensis,urn:lsid:marinespecies.org:taxname:281374,"(Schmidt, 1938)",accepted,Species,269707,Animalia,Chordata,Actinopterygii,Argentiniformes,Bathylagidae,Lipolagus,NA
IYS:GoA2020_Stn11:trawl,IYS:GoA2020_Stn11:trawl:occ:90,present,1,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA
