eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2020_Stn:3:bongo:Net2,IYS:GoA2020_Stn:3:bongo:Net2:Volume filtered as estimated by depth-estimate,Volume filtered as estimated by depth-estimate,NA,49.0625,NA,NA,NA
IYS:GoA2020_Stn:3:bongo:Net2,IYS:GoA2020_Stn:3:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,meter per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:4:bongo:Net1,IYS:GoA2020_Stn:4:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,199.7008937,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:4:bongo:Net1,IYS:GoA2020_Stn:4:bongo:Net1:Volume filtered as estimated by flowmeter,Volume filtered as estimated by flowmeter,NA,39.19130039,NA,NA,NA
IYS:GoA2020_Stn:4:bongo:Net1,IYS:GoA2020_Stn:4:bongo:Net1:Volume filtered as estimated by depth-estimate,Volume filtered as estimated by depth-estimate,NA,49.0625,NA,NA,NA
IYS:GoA2020_Stn:4:bongo:Net1,IYS:GoA2020_Stn:4:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,meter per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:4:bongo:Net2,IYS:GoA2020_Stn:4:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,396.6875107,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:4:bongo:Net2,IYS:GoA2020_Stn:4:bongo:Net2:Volume filtered as estimated by flowmeter,Volume filtered as estimated by flowmeter,NA,77.84992397,NA,NA,NA
IYS:GoA2020_Stn:4:bongo:Net2,IYS:GoA2020_Stn:4:bongo:Net2:Volume filtered as estimated by depth-estimate,Volume filtered as estimated by depth-estimate,NA,49.0625,NA,NA,NA
IYS:GoA2020_Stn:4:bongo:Net2,IYS:GoA2020_Stn:4:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,meter per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:5:bongo:Net1,IYS:GoA2020_Stn:5:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,317.7584938,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:5:bongo:Net1,IYS:GoA2020_Stn:5:bongo:Net1:Volume filtered as estimated by flowmeter,Volume filtered as estimated by flowmeter,NA,62.3601044,NA,NA,NA
IYS:GoA2020_Stn:5:bongo:Net1,IYS:GoA2020_Stn:5:bongo:Net1:Volume filtered as estimated by depth-estimate,Volume filtered as estimated by depth-estimate,NA,49.0625,NA,NA,NA
