eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,minimumDepthInMetres,maximumDepthInMetres,sampleSizeValue,eventRemarks,sampleSizeUnit,samplingProtocol,samplingEffort,footprintWKT,coordinateUncertaintyInMeters,type,geodeticDatum
IYS:GoA2020_Stn:22:bongo:Net2,IYS:GoA2020_Stn:22,2020-03-21T19:05:00Z,51.4911666666667,-144.53816666666665,250,250,67.08035926,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -144.538166666667   51.4911666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:23:bongo:Net1,IYS:GoA2020_Stn:23,2020-03-22T03:15:00Z,51.4716666666667,-143.035,250,250,18.14792957,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -143.035   51.4716666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:23:bongo:Net2,IYS:GoA2020_Stn:23,2020-03-22T03:15:00Z,51.4716666666667,-143.035,250,250,64.59101815,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -143.035   51.4716666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:28:bongo:Net1,IYS:GoA2020_Stn:28,2020-03-24T14:28:00Z,54.4296666666667,-135.5465,250,250,36.92346845,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -135.5465   54.4296666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:28:bongo:Net2,IYS:GoA2020_Stn:28,2020-03-24T14:28:00Z,54.4296666666667,-135.5465,250,250,66.94323454,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -135.5465   54.4296666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:P:bongo:Net1,IYS:GoA2020_Stn:P,2020-03-24T22:27:00Z,54.565,-134.04833333333335,300,300,36.06380192,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -134.048333333333   54.565 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:P:bongo:Net2,IYS:GoA2020_Stn:P,2020-03-24T22:27:00Z,54.565,-134.04833333333335,300,300,49.72880788,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -134.048333333333   54.565 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:Q:bongo:Net1,IYS:GoA2020_Stn:Q,2020-03-26T10:41:00Z,54.4046666666667,-132.41583333333332,250,250,42.44537553,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -132.415833333333   54.4046666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:Q:bongo:Net2,IYS:GoA2020_Stn:Q,2020-03-26T10:41:00Z,54.4046666666667,-132.41583333333332,250,250,71.33649967,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -132.415833333333   54.4046666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:P PRIME:bongo:Net1,IYS:GoA2020_Stn:P PRIME,2020-03-27T05:02:00Z,54.405,-134.021666666667,250,250,37.57744789,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -134.021666666667   54.405 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:P PRIME:bongo:Net2,IYS:GoA2020_Stn:P PRIME,2020-03-27T05:02:00Z,54.405,-134.021666666667,250,250,55.47749815,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -134.021666666667   54.405 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:S28:bongo:Net1,IYS:GoA2020_Stn:S28,2020-03-27T14:25:00Z,53.43,-135.49666666666667,250,250,40.29884622,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -135.496666666667   53.43 ),0,PreservedSpecimen,EPSG:4326 WGS84
