eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonomicRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,basisOfRecord,organismQuantity,organismQuantityType
GoA2019_Stn11:trawl1:Oncorhynchus nerka:2,GoA2019_Stn11:trawl1:Oncorhynchus nerka:2-pr3,present,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,106344,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,HumanObservation,NA,NA
GoA2019_Stn11:trawl1:Oncorhynchus tschawytscha:1,GoA2019_Stn11:trawl1:Oncorhynchus tschawytscha:1-p,present,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,1,stomachs
GoA2019_Stn11:trawl1:Oncorhynchus tschawytscha:1,GoA2019_Stn11:trawl1:Oncorhynchus tschawytscha:1-pr1,present,Pisces,urn:lsid:marinespecies.org:taxname:11676,NA,accepted,Superclass,1828,Animalia,Chordata,NA,NA,NA,NA,HumanObservation,NA,NA
GoA2019_Stn12:trawl1:Oncorhynchus keta:1,GoA2019_Stn12:trawl1:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,5,stomachs
GoA2019_Stn12:trawl1:Oncorhynchus keta:1,GoA2019_Stn12:trawl1:Oncorhynchus keta:1-pr1,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,110673,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,HumanObservation,NA,NA
GoA2019_Stn12:trawl1:Oncorhynchus keta:1,GoA2019_Stn12:trawl1:Oncorhynchus keta:1-pr2,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,"Latreille, 1823",accepted,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,HumanObservation,NA,NA
GoA2019_Stn12:trawl1:Oncorhynchus keta:1,GoA2019_Stn12:trawl1:Oncorhynchus keta:1-pr3,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,NA,NA
GoA2019_Stn12:trawl1:Oncorhynchus keta:1,GoA2019_Stn12:trawl1:Oncorhynchus keta:1-pr4,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,HumanObservation,NA,NA
GoA2019_Stn12:trawl1:Oncorhynchus keta:1,GoA2019_Stn12:trawl1:Oncorhynchus keta:1-pr5,present,Primno macropa,urn:lsid:marinespecies.org:taxname:180759,"Guérin-Méneville, 1836",accepted,Species,101806,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Primno,HumanObservation,NA,NA
GoA2019_Stn12:trawl1:Oncorhynchus keta:2,GoA2019_Stn12:trawl1:Oncorhynchus keta:2-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,1,stomachs
GoA2019_Stn12:trawl1:Oncorhynchus keta:2,GoA2019_Stn12:trawl1:Oncorhynchus keta:2-pr1,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,NA,NA
