occurrenceID,measurementType,measurementValue,measurementID,measurementTypeID,measurementUnit,measurementUnitID,measurementValueID
IYS:GoA2019_Stn1:bongo_occ:20,abund_m3_flow_est,0.3773584906,IYS:GoA2019_Stn1:bongo_occ:20:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:20,abund_m3_depth_est,0.3259319617,IYS:GoA2019_Stn1:bongo_occ:20:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:21,stage,egg,IYS:GoA2019_Stn1:bongo_occ:21:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1122/
IYS:GoA2019_Stn1:bongo_occ:21,sex,NA,IYS:GoA2019_Stn1:bongo_occ:21:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:21,ind_counted,7,IYS:GoA2019_Stn1:bongo_occ:21:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:21,ind_total,112,IYS:GoA2019_Stn1:bongo_occ:21:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:21,abund_m3_flow_est,2.641509434,IYS:GoA2019_Stn1:bongo_occ:21:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:21,abund_m3_depth_est,2.281523732,IYS:GoA2019_Stn1:bongo_occ:21:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:22,stage,<0.5mm,IYS:GoA2019_Stn1:bongo_occ:22:stage, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:22,sex,NA,IYS:GoA2019_Stn1:bongo_occ:22:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:22,ind_counted,2,IYS:GoA2019_Stn1:bongo_occ:22:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:22,ind_total,32,IYS:GoA2019_Stn1:bongo_occ:22:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:22,abund_m3_flow_est,0.7547169811,IYS:GoA2019_Stn1:bongo_occ:22:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:22,abund_m3_depth_est,0.6518639234,IYS:GoA2019_Stn1:bongo_occ:22:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:23,stage,C2,IYS:GoA2019_Stn1:bongo_occ:23:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S117/
