eventID,occurrenceID,scientificName,scientificNameID,kingdom,phylum,class,order,family,genus,occurrenceStatus,Preparations,organismQuantity,organismQuantityType,stage,lifeStage,sex,reproductiveCondition,occurrenceRemarks
GoA2019_Stn54:bongo:Net2:SS163,IYS_GoA2019_zocc259,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,6,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn54:bongo:Net2:SS164,IYS_GoA2019_zocc260,siphonophore,urn:lsid:marinespecies.org:taxname:1371,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,present,size fractionated & frozen,>4,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn55:bongo:Net1:SS168,IYS_GoA2019_zocc261,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,formalin,3,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn55:bongo:Net2:SS166,IYS_GoA2019_zocc262,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,size fractionated & frozen,4,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn55:bongo:Net2:SS167,IYS_GoA2019_zocc263,siphonophore,urn:lsid:marinespecies.org:taxname:1371,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,present,size fractionated & frozen,4,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn56:bongo:Net2:22027.0,IYS_GoA2019_zocc264,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,3,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn56:bongo:Net2:SS169,IYS_GoA2019_zocc265,Thysanoessa sp.,urn:lsid:marinespecies.org:taxname:110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn56:bongo:Net2:SS170,IYS_GoA2019_zocc266,Thysanoessa sp.,urn:lsid:marinespecies.org:taxname:110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn56:bongo:Net2:SS171,IYS_GoA2019_zocc267,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,3,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn56:bongo:Net2:SS172,IYS_GoA2019_zocc268,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,2,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn56:bongo:Net2:SS173,IYS_GoA2019_zocc269,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,present,size fractionated & frozen,4,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn56:bongo:Net2:SS174,IYS_GoA2019_zocc270,Paraeuchaeta sp.,urn:lsid:marinespecies.org:taxname:196874,Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,present,size fractionated & frozen,4,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn56:bongo:Net2:Z912,IYS_GoA2019_zocc271,Aequorea sp.,urn:lsid:marinespecies.org:taxname:116998,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn57:bongo:Net2:SS175,IYS_GoA2019_zocc272,Primno pacifica,urn:lsid:marinespecies.org:taxname:286539,Animalia,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Primnoa,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn57:bongo:Net2:SS176,IYS_GoA2019_zocc273,Chaetognath (Sagitta),urn:lsid:marinespecies.org:taxname:5949,Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn57:bongo:Net2:SS176,IYS_GoA2019_zocc274,Chaetognath (Sagitta),urn:lsid:marinespecies.org:taxname:5949,Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn57:bongo:Net2:SS176,IYS_GoA2019_zocc275,Chaetognath (Sagitta),urn:lsid:marinespecies.org:taxname:5949,Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn57:bongo:Net2:SS176,IYS_GoA2019_zocc276,Chaetognath (Sagitta),urn:lsid:marinespecies.org:taxname:5949,Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn57:bongo:Net2:SS177,IYS_GoA2019_zocc277,Hydromedusae,urn:lsid:marinespecies.org:taxname:1337,Animalia,Cnidaria,Hydrozoa,NA,NA,NA,present,size fractionated & frozen,2,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn57:bongo:Net2:SS178,IYS_GoA2019_zocc278,Hydromedusae,urn:lsid:marinespecies.org:taxname:1337,Animalia,Cnidaria,Hydrozoa,NA,NA,NA,present,size fractionated & frozen,4,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn57:bongo:Net2:SS179,IYS_GoA2019_zocc279,Phronima (sedentaria),urn:lsid:marinespecies.org:taxname:103272,Animalia,Arthropoda,Malacostraca,Amphipoda,Phronimidae,Phronima,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
