eventID,occurrenceID,scientificName,scientificNameID,parentNameUsageID,sex,lifeStage,kingdom,phylum,class,order,family,genus,occurrenceStatus,Preparations,occurrenceRemarks
IYS:GoA2019_Stn20:bongo:Net2:SS35,IYS_GoA2019_zocc98,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,104155,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,size fractionated & frozen,NA
IYS:GoA2019_Stn22:bongo:Net2:SS38,IYS_GoA2019_zocc99,Lensia,urn:lsid:marinespecies.org:taxname:135365,151532,NA,"NA",Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn22:bongo:Net2:SS38,IYS_GoA2019_zocc100,Lensia,urn:lsid:marinespecies.org:taxname:135365,151532,NA,"NA",Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn22:bongo:Net2:SS39,IYS_GoA2019_zocc101,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn22:bongo:Net2:SS40,IYS_GoA2019_zocc102,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn22:bongo:Net2:SS41,IYS_GoA2019_zocc103,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn22:bongo:Net2:SS42,IYS_GoA2019_zocc104,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn22:bongo:Net2:SS42B,IYS_GoA2019_zocc105,Aequorea,urn:lsid:marinespecies.org:taxname:116998,13553,NA,"NA",Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,present,size fractionated & frozen,NA
IYS:GoA2019_Stn22:bongo:Net2:SS42B,IYS_GoA2019_zocc106,Aequorea,urn:lsid:marinespecies.org:taxname:116998,13553,NA,"NA",Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,present,size fractionated & frozen,NA
IYS:GoA2019_Stn22:bongo:Net2:SS43,IYS_GoA2019_zocc107,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn22:bongo:Net2:SS44,IYS_GoA2019_zocc108,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn22:bongo:Net2:SS45,IYS_GoA2019_zocc109,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn23:bongo:Net2:22020.0,IYS_GoA2019_zocc110,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn23:bongo:Net2:22021.0,IYS_GoA2019_zocc111,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn23:bongo:Net2:SS46,IYS_GoA2019_zocc112,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn23:bongo:Net2:SS47,IYS_GoA2019_zocc113,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn23:bongo:Net2:SS48,IYS_GoA2019_zocc114,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn23:bongo:Net2:SS49,IYS_GoA2019_zocc115,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,110679,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,present,size fractionated & frozen,NA
IYS:GoA2019_Stn23:bongo:Net2:SS50,IYS_GoA2019_zocc116,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn23:bongo:Net2:SS51,IYS_GoA2019_zocc117,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn23:bongo:Net2:SS52,IYS_GoA2019_zocc118,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn23:bongo:Net2:SS53,IYS_GoA2019_zocc119,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn23:bongo:Net2:SS54,IYS_GoA2019_zocc120,Sagittoidea,urn:lsid:marinespecies.org:taxname:5949,2081,NA,"NA",Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,NA
IYS:GoA2019_Stn25:bongo:Net2:SS55,IYS_GoA2019_zocc121,Sagittoidea,urn:lsid:marinespecies.org:taxname:5949,2081,NA,"NA",Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,NA
IYS:GoA2019_Stn25:bongo:Net2:SS55,IYS_GoA2019_zocc122,Sagittoidea,urn:lsid:marinespecies.org:taxname:5949,2081,NA,"NA",Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,NA
IYS:GoA2019_Stn25:bongo:Net2:SS55,IYS_GoA2019_zocc123,Sagittoidea,urn:lsid:marinespecies.org:taxname:5949,2081,NA,"NA",Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,NA
IYS:GoA2019_Stn25:bongo:Net2:SS55,IYS_GoA2019_zocc124,Sagittoidea,urn:lsid:marinespecies.org:taxname:5949,2081,NA,"NA",Animalia,Chaetognatha,Sagittoidea,NA,NA,NA,present,size fractionated & frozen,NA
IYS:GoA2019_Stn25:bongo:Net2:SS57,IYS_GoA2019_zocc125,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn25:bongo:Net2:SS57,IYS_GoA2019_zocc126,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn25:bongo:Net2:SS57,IYS_GoA2019_zocc127,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn25:bongo:Net2:SS57,IYS_GoA2019_zocc128,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
IYS:GoA2019_Stn25:bongo:Net2:SS58,IYS_GoA2019_zocc129,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,110673,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,NA
